Group,Individ_Num,Sex,SL_mm,MEAs_Fam_Num,MEAs_Fam_Size,Collection_Day,Trap_Zone,Guts_Avail?,Dorsal_Color?,DeltaPDB,DeltaAir,MicrogC,MicrogN,Isotope_PC1,Isotope_PC2,Loess_Predicted_SL_mm,Ten_Percent_Loess_Curved_Landscape_Group,Five_Percent_Loess_Curved_Landscape_Group,Fifteen_Percent_Loess_Curved_Landscape_Group,Orig_Square_Landscape_Group,Gut_Large_Collembola,Gut_Small_Collembola,Gut_Chironomid,Gut_Chydorus,Gut_Calanoid,Gut_Cyclopoid,Gut_Snail_Egg,Gut_Ostracod,Gut_Caddisfly,Gut_Surface_Insect,Gut_Mite,Gut_Coleoptera_Larva,Gut_Snail,Gut_Sida,Gut_Amphipod,Dorsal_Long_Gill_Rakers,Ventral_Long_Gill_Rakers,Hypo_Long_Gill_Rakers,Dorsal_Short_Gill_Rakers,Ventral_Short_Gill_Rakers,Joint_Short_Gill_Rakers,Total_Long_Gill_Rakers,Total_Short_Gill_Rakers,Total_All_Gill_Rakers,Num_Lateral_Plates,Pelvic_Girdle_Development,First_Spine_Development,Second_Spine_Development,TPS_Landmark_1x_cm,TPS_Landmark_1y_cm,TPS_Landmark_2x_cm,TPS_Landmark_2y_cm,TPS_Landmark_3x_cm,TPS_Landmark_3y_cm,TPS_Landmark_4x_cm,TPS_Landmark_4y_cm,TPS_Landmark_5x_cm,TPS_Landmark_5y_cm,TPS_Landmark_6x_cm,TPS_Landmark_6y_cm,TPS_Landmark_7x_cm,TPS_Landmark_7y_cm,TPS_Landmark_8x_cm,TPS_Landmark_8y_cm,TPS_Landmark_9x_cm,TPS_Landmark_9y_cm,TPS_Landmark_10x_cm,TPS_Landmark_10y_cm,TPS_Landmark_11x_cm,TPS_Landmark_11y_cm,TPS_Landmark_12x_cm,TPS_Landmark_12y_cm,TPS_Landmark_13x_cm,TPS_Landmark_13y_cm,TPS_Landmark_14x_cm,TPS_Landmark_14y_cm,TPS_Landmark_15x_cm,TPS_Landmark_15y_cm,TPS_Landmark_16x_cm,TPS_Landmark_16y_cm,TPS_Landmark_17x_cm,TPS_Landmark_17y_cm,TPS_Landmark_18x_cm,TPS_Landmark_18y_cm,TPS_Landmark_19x_cm,TPS_Landmark_19y_cm,TPS_Landmark_20x_cm,TPS_Landmark_20y_cm,TPS_Landmark_21x_cm,TPS_Landmark_21y_cm,Std_Length_TPS1_to_TPS14_mm,SL_mm_Scaled_0_to_1,Centroid_Size_cm,Fractional_SL_Growth_mm,Fractional_Centroid_Growth_cm,Resid_SL_mm,Resid_Centroid_cm,Molar_C_to_N_Ratio,Buccal_Length,SI_Outlever,Protrusion,Gape,EpaxW,EpaxH,Opening_Inlever,Buccal_Length.res,SI_Outlever.res,Protrusion.res,Gape.res,EpaxW.res,EpaxH.res,Opening_Inlever.res,Suction_Index,R_B_Change_Littoral_Min_Pelag,G_B_Change_Littoral_Min_Pelag,Dev_R_B_Littoral,Dev_G_B_Littoral,Dev_R_B_Pelagic,Dev_G_B_Pelagic,x1_superimp_F2_only,y1_superimp_F2_only,x3_superimp_F2_only,y3_superimp_F2_only,x4_superimp_F2_only,y4_superimp_F2_only,x5_superimp_F2_only,y5_superimp_F2_only,x6_superimp_F2_only,y6_superimp_F2_only,x7_superimp_F2_only,y7_superimp_F2_only,x8_superimp_F2_only,y8_superimp_F2_only,x9_superimp_F2_only,y9_superimp_F2_only,x10_superimp_F2_only,y10_superimp_F2_only,x11_superimp_F2_only,y11_superimp_F2_only,x12_superimp_F2_only,y12_superimp_F2_only,x13_superimp_F2_only,y13_superimp_F2_only,x14_superimp_F2_only,y14_superimp_F2_only,x15_superimp_F2_only,y15_superimp_F2_only,x16_superimp_F2_only,y16_superimp_F2_only,x17_superimp_F2_only,y17_superimp_F2_only,x18_superimp_F2_only,y18_superimp_F2_only,x19_superimp_F2_only,y19_superimp_F2_only,x20_superimp_F2_only,y20_superimp_F2_only,x1_superimp_REF_only,y1_superimp_REF_only,x3_superimp_REF_only,y3_superimp_REF_only,x4_superimp_REF_only,y4_superimp_REF_only,x5_superimp_REF_only,y5_superimp_REF_only,x6_superimp_REF_only,y6_superimp_REF_only,x7_superimp_REF_only,y7_superimp_REF_only,x8_superimp_REF_only,y8_superimp_REF_only,x9_superimp_REF_only,y9_superimp_REF_only,x10_superimp_REF_only,y10_superimp_REF_only,x11_superimp_REF_only,y11_superimp_REF_only,x12_superimp_REF_only,y12_superimp_REF_only,x13_superimp_REF_only,y13_superimp_REF_only,x14_superimp_REF_only,y14_superimp_REF_only,x15_superimp_REF_only,y15_superimp_REF_only,x16_superimp_REF_only,y16_superimp_REF_only,x17_superimp_REF_only,y17_superimp_REF_only,x18_superimp_REF_only,y18_superimp_REF_only,x19_superimp_REF_only,y19_superimp_REF_only,x20_superimp_REF_only,y20_superimp_REF_only
mapF2,1,Male,NA,11,19,1,1,0,1,-20.04,6.4,668.3,209.7,0.14226881,-1.147673466,37.16575881,O,O,O,D (all others),,,,,,,,,,,,,,,,5,12,2,1,13,3,19,17,36,3,2,0,2,7.35E-01,2.07E+00,NA,NA,2.27E+00,1.70E+00,3.72E+00,1.66E+00,3.80E+00,1.81E+00,4.38E+00,1.67E+00,4.48E+00,1.81E+00,4.18E+00,2.17E+00,4.50E+00,2.27E+00,4.54E+00,2.17E+00,4.59E+00,1.78E+00,5.24E+00,1.77E+00,5.34E+00,1.92E+00,5.62E+00,2.17E+00,5.32E+00,2.34E+00,5.25E+00,2.22E+00,4.77E+00,2.23E+00,5.03E+00,2.03E+00,4.48E+00,2.59E+00,2.58E+00,2.52E+00,NA,NA,48.86,0.8776,5.33467875,0.15249,0.14401,6.465,0.671541788,3.718,15.463,16.596,1.812,5.241,5.692,2.456,1.08,-0.003,-0.003,-0.006,-0.031,-0.007,0.109,-0.010670132,0.015930823,1.074935401,0.623385013,2.532703488,2.130087209,-0.35639413,-0.178721174,-2.789430999,0.057327031,-1.585137166,-0.285058308,-0.412987875,-0.329668944,-0.351469659,-0.212124884,0.106726666,-0.307928353,0.188608434,-0.198778397,-0.057900112,0.078495334,0.19113785,0.167381336,0.225674127,0.0892134,0.276221316,-0.215739649,0.789022409,-0.202228571,0.865426491,-0.08081971,1.076515038,0.123115909,0.835545664,0.249575812,0.783838886,0.144858808,0.405700904,0.150864342,0.612285153,-0.006719075,0.168755271,0.423046277,-1.328532397,0.355187643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mapF2,2,Female,NA,2,42,1,1,0,1,-17.19,6.34,482.5,152.8,1.700331177,0.250265125,39.26647459,B,B,B,C (iii),,,,,,,,,,,,,,,,7,12,3,1,12,3,22,16,38,3,2,0,2,1.05E+00,2.02E+00,NA,NA,2.30E+00,1.66E+00,3.63E+00,1.57E+00,3.69E+00,1.72E+00,4.20E+00,1.62E+00,4.30E+00,1.71E+00,3.99E+00,2.02E+00,4.29E+00,2.14E+00,4.32E+00,2.06E+00,4.40E+00,1.70E+00,5.01E+00,1.72E+00,5.09E+00,1.86E+00,5.29E+00,2.10E+00,5.02E+00,2.21E+00,4.95E+00,2.10E+00,4.54E+00,2.08E+00,4.75E+00,1.89E+00,4.29E+00,2.41E+00,2.61E+00,2.33E+00,NA,NA,42.408,0.6451,4.685029911,-0.00937,-0.00402,-0.401,-0.018901577,3.685,13.608,14.627,1.583,4.486,4.908,1.518,0.94,0.008,0.008,-0.006,-0.013,0.004,-0.032,0.007165698,0.007894051,1.023255814,0.632840028,1.815453863,1.585146287,-0.25,-0.10955711,-2.748534608,0.047975092,-1.614865399,-0.263002564,-0.41617342,-0.335710607,-0.362344341,-0.199610531,0.099378592,-0.290071715,0.188869135,-0.207930297,-0.091363037,0.072137034,0.179996421,0.180426773,0.207028977,0.108080389,0.279238715,-0.217634782,0.830907236,-0.200219637,0.903020572,-0.073711341,1.08446769,0.143231347,0.840410279,0.242746508,0.777038903,0.14460318,0.406148057,0.124852409,0.59679703,-0.04600683,0.179773998,0.424122602,-1.3397948,0.345722967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mapF2,3,Female,NA,16,15,1,1,0,1,-17.32,6.25,434.6,137.4,1.753006443,0.062754727,39.2025447,B,B,B,C (iii),,,,,,,,,,,,,,,,6,13,2,1,12,2,21,15,36,3,2,2,2,1.01E+00,1.86E+00,NA,NA,2.40E+00,1.68E+00,3.70E+00,1.60E+00,3.76E+00,1.73E+00,4.30E+00,1.58E+00,4.38E+00,1.67E+00,4.13E+00,2.01E+00,4.46E+00,2.09E+00,4.48E+00,2.02E+00,4.52E+00,1.65E+00,5.10E+00,1.67E+00,5.21E+00,1.79E+00,5.40E+00,2.06E+00,5.14E+00,2.19E+00,5.12E+00,2.07E+00,4.70E+00,2.07E+00,4.91E+00,1.87E+00,4.44E+00,2.42E+00,2.63E+00,2.41E+00,NA,NA,43.946,0.7005,4.862017125,0.10147,0.10908,4.048,0.478169973,3.69,13.69,14.86,1.701,4.631,5.038,1.499,1.02,-0.006,-0.002,0.011,-0.021,-0.003,-0.055,0.022984222,0.007426059,1.048648649,0.544144144,1.656906907,1.744744745,-0.836363636,-0.412121212,-2.769790766,0.018622581,-1.584993206,-0.223232496,-0.416093213,-0.315482162,-0.367271476,-0.205013448,0.09910421,-0.308862857,0.173289094,-0.233992497,-0.059003025,0.04732603,0.219661377,0.133694768,0.241846015,0.074781155,0.295640002,-0.23930515,0.794979128,-0.1846007,0.885629346,-0.075964961,1.031447376,0.168367919,0.800250176,0.266844058,0.789577091,0.146055216,0.428964658,0.1427973,0.612215937,-0.029400201,0.19077002,0.423858123,-1.366222746,0.393507325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mapF2,4,Female,NA,8,21,1,1,0,1,-17.79,6.24,582.4,183.7,1.522609661,-0.194329351,38.77236597,O,O,B,C (iii),,,,,,,,,,,,,,,,7,12,2,1,12,2,21,15,36,3,0,2,2,1.12E+00,2.16E+00,NA,NA,2.27E+00,1.70E+00,3.60E+00,1.58E+00,3.66E+00,1.67E+00,4.07E+00,1.56E+00,4.21E+00,1.66E+00,3.95E+00,1.97E+00,4.25E+00,2.04E+00,4.28E+00,1.97E+00,4.33E+00,1.63E+00,4.89E+00,1.64E+00,5.02E+00,1.77E+00,5.21E+00,1.98E+00,4.94E+00,2.10E+00,4.90E+00,2.02E+00,4.48E+00,2.01E+00,4.71E+00,1.82E+00,4.22E+00,2.33E+00,2.59E+00,2.34E+00,NA,NA,40.94,0.5922,4.547430738,0.0449,0.05057,1.759,0.218894973,3.699,13.269,14.177,1.703,3.872,5.294,1.337,0.94,0.013,0.011,0.041,-0.056,0.056,-0.07,0.026601496,0.008140229,1.021887825,0.505471956,1.781517748,1.623011016,-0.437647059,-0.209411765,-2.726628318,0.053005185,-1.622751814,-0.274883182,-0.394687612,-0.300632931,-0.342953426,-0.212544749,0.045672172,-0.300841581,0.168199948,-0.198612437,-0.085761158,0.079785747,0.192051001,0.155913493,0.22216833,0.091858153,0.281193796,-0.224068561,0.802816414,-0.196390582,0.917967229,-0.069716927,1.089577474,0.132819301,0.83367075,0.234186119,0.798666828,0.163789577,0.407249305,0.131360976,0.631744697,-0.032510022,0.15164702,0.422429269,-1.369842637,0.345053153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mapF2,5,Male,NA,18,14,1,1,0,1,-20.71,6.9,551.2,174.7,-0.872373352,-0.827950828,37.23780555,O,O,O,D (all others),,,,,,,,,,,,,,,,6,11,2,1,11,3,19,15,34,3,2,0,2,1.09E+00,2.15E+00,NA,NA,2.38E+00,1.81E+00,3.61E+00,1.68E+00,3.69E+00,1.82E+00,4.21E+00,1.71E+00,4.25E+00,1.83E+00,3.97E+00,2.16E+00,4.29E+00,2.24E+00,4.31E+00,2.16E+00,4.37E+00,1.83E+00,4.96E+00,1.81E+00,5.05E+00,1.95E+00,5.26E+00,2.18E+00,4.99E+00,2.30E+00,4.94E+00,2.21E+00,4.52E+00,2.20E+00,4.74E+00,2.01E+00,4.25E+00,2.52E+00,2.63E+00,2.49E+00,NA,NA,41.701,0.6196,4.584621892,0.10351,0.10538,3.912,0.437081848,3.682,13.298,14.219,1.565,4.668,5.747,1.688,0.92,0.006,0.003,-0.004,0.014,0.082,0.022,0.007100668,0.011615871,0.925953079,0.600439883,1.442389006,1.315539112,-0.375843961,-0.200300075,-2.761237132,0.048574033,-1.567761906,-0.255787084,-0.425195189,-0.359286861,-0.353969484,-0.229076619,0.127453946,-0.319082793,0.163054505,-0.208102293,-0.102552881,0.090338195,0.190590196,0.171367805,0.210928672,0.098066459,0.273914651,-0.204693723,0.818360552,-0.209136245,0.898603465,-0.077922989,1.086438411,0.138961207,0.834615759,0.243649866,0.790702113,0.157678743,0.403664428,0.141401386,0.609865129,-0.030326869,0.147811447,0.429647446,-1.345286682,0.373730338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mapF2,6,Male,NA,7,22,1,1,0,1,-18.24,7.11,516.4,163.3,0.128343788,0.733199529,38.212102,O,O,O,D (all others),,,,,,,,,,,,,,,,7,12,3,2,12,2,22,16,38,2,0,2,2,1.26E+00,2.06E+00,NA,NA,2.49E+00,1.85E+00,3.59E+00,1.78E+00,3.65E+00,1.85E+00,4.11E+00,1.76E+00,4.19E+00,1.83E+00,3.92E+00,2.12E+00,4.19E+00,2.21E+00,4.22E+00,2.14E+00,4.30E+00,1.82E+00,4.83E+00,1.86E+00,4.93E+00,1.99E+00,5.08E+00,2.23E+00,4.82E+00,2.33E+00,4.80E+00,2.20E+00,4.40E+00,2.21E+00,4.60E+00,2.02E+00,4.17E+00,2.51E+00,2.74E+00,2.47E+00,NA,NA,38.238,0.4948,4.175182316,-0.05281,-0.05935,-2.132,-0.263441132,3.69,12.705,13.596,1.748,4.078,4.596,1.643,0.9,0.026,0.024,0.081,0.008,0.031,0.052,0.045384457,0.011019542,0.978479197,0.555236729,0.854200542,1.046070461,-0.6381798,-0.30854606,-2.791396718,0.015540988,-1.551020231,-0.220054985,-0.426844473,-0.298153678,-0.366720683,-0.2279307,0.098492988,-0.313203533,0.180816586,-0.243201631,-0.096093955,0.047456838,0.175577591,0.142431477,0.207081541,0.071947445,0.292420299,-0.250513146,0.828328578,-0.201446718,0.928584026,-0.068770381,1.076122792,0.176589165,0.811517051,0.274646287,0.792760052,0.138856728,0.388526689,0.148697457,0.591129658,-0.043686338,0.152863186,0.447277686,-1.292144977,0.40351704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mapF2,7,Male,NA,22,11,1,2,0,1,-16.9,6.52,538.4,167.6,1.610538544,0.64084382,39.47407143,B,B,B,C (iii),,,,,,,,,,,,,,,,6,12,2,1,13,2,20,16,36,3,2,0,2,5.09E-01,1.53E+00,NA,NA,1.70E+00,1.30E+00,2.97E+00,1.29E+00,3.00E+00,1.39E+00,3.47E+00,1.28E+00,3.56E+00,1.41E+00,3.24E+00,1.67E+00,3.55E+00,1.80E+00,3.58E+00,1.71E+00,3.67E+00,1.41E+00,4.22E+00,1.43E+00,4.29E+00,1.56E+00,4.46E+00,1.81E+00,4.20E+00,1.91E+00,4.18E+00,1.79E+00,3.76E+00,1.79E+00,3.98E+00,1.60E+00,3.50E+00,2.07E+00,1.96E+00,1.93E+00,NA,NA,39.609,0.5442,4.377703303,0.0419,0.0415,1.593,0.17444435,3.749,12.801,13.69,1.633,4.344,4.6,1.332,0.9,0.013,0.011,0.036,0.014,0.012,-0.056,0.025950239,0.006711407,0.986320109,0.64500684,1.666477595,1.520703347,-0.470588235,-0.245098039,-2.755974834,0.033278626,-1.615435103,-0.240419303,-0.386377365,-0.300922134,-0.353677384,-0.205617172,0.096008513,-0.328707996,0.188305471,-0.206788546,-0.111629711,0.056079978,0.192504616,0.170588536,0.218268843,0.082565243,0.29463088,-0.210381923,0.826596139,-0.210338285,0.899013077,-0.087205556,1.071912012,0.14829659,0.82427717,0.254218607,0.800662419,0.138084241,0.395074517,0.15427041,0.600292819,-0.037806172,0.154060554,0.433622566,-1.338512633,0.35718229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mapF2,8,Male,NA,1,48,1,2,0,1,-19.28,6.64,442,138.5,0.216154719,-0.433292453,37.29445965,O,O,O,D (all others),,,,,,,,,,,,,,,,6,12,3,1,11,3,21,15,36,3,0,2,2,1.25E+00,2.07E+00,NA,NA,2.44E+00,1.79E+00,3.58E+00,1.72E+00,3.64E+00,1.83E+00,4.07E+00,1.71E+00,4.18E+00,1.82E+00,3.95E+00,2.10E+00,4.20E+00,2.16E+00,4.24E+00,2.09E+00,4.29E+00,1.80E+00,4.82E+00,1.80E+00,4.92E+00,1.94E+00,5.08E+00,2.12E+00,4.84E+00,2.23E+00,4.81E+00,2.13E+00,4.40E+00,2.13E+00,4.62E+00,1.96E+00,4.20E+00,2.40E+00,2.69E+00,2.38E+00,NA,NA,38.303,0.4972,4.204039411,-0.01731,-0.0189,-0.675,-0.080990598,3.724,11.898,12.803,1.355,4.179,3.986,1.567,0.82,-0.003,-0.003,-0.03,0.017,-0.032,0.031,0.004018786,0.009573343,1.019117647,0.561764706,2.292241379,2.005172414,-0.420168067,-0.213235294,-2.779831722,0.043626859,-1.585565295,-0.249298368,-0.424159316,-0.310668785,-0.366470138,-0.199904393,0.067063232,-0.305662921,0.17768694,-0.194383095,-0.06285765,0.079346531,0.185187544,0.148914644,0.228085993,0.079714042,0.288917101,-0.208918648,0.820819909,-0.188759085,0.917729605,-0.044929121,1.069811491,0.141757791,0.824911406,0.244130682,0.798391903,0.137545266,0.387178491,0.130416471,0.611338814,-0.036881422,0.17794451,0.39159842,-1.336182819,0.342355132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mapF2,9,Male,NA,2,42,1,2,0,1,-18.77,6.39,553,172.7,0.814230215,-0.502399357,37.88840682,O,O,O,D (all others),,,,,,,,,,,,,,,,6,12,2,2,13,2,20,17,37,3,2,0,2,9.49E-01,2.27E+00,NA,NA,2.39E+00,1.83E+00,3.81E+00,1.76E+00,3.88E+00,1.89E+00,4.36E+00,1.77E+00,4.49E+00,1.90E+00,4.20E+00,2.22E+00,4.51E+00,2.32E+00,4.56E+00,2.24E+00,4.62E+00,1.87E+00,5.21E+00,1.85E+00,5.33E+00,2.00E+00,5.58E+00,2.24E+00,5.27E+00,2.41E+00,5.22E+00,2.31E+00,4.78E+00,2.29E+00,5.00E+00,2.08E+00,4.48E+00,2.65E+00,2.76E+00,2.58E+00,NA,NA,46.311,0.7857,5.032059942,0.0818,0.06976,3.502,0.328128455,3.736,14.476,15.533,1.621,5.039,5.509,1.975,1.04,-0.006,-0.007,-0.032,-0.016,0.007,0.04,0.002498856,0.011837947,0.798627002,0.469107551,2.526236882,2.133433283,-0.334365325,-0.170278638,-2.807030353,0.058663272,-1.588410875,-0.289518144,-0.390569661,-0.322983918,-0.334369946,-0.21250411,0.071321605,-0.302694606,0.178469465,-0.191122395,-0.072368837,0.07158271,0.185898443,0.162578291,0.229759312,0.096379495,0.288394921,-0.213138275,0.784605298,-0.216470122,0.88236154,-0.087795083,1.086847685,0.119357689,0.822623039,0.255533276,0.782881778,0.169455446,0.413552618,0.144122978,0.602559484,-0.028206606,0.153718696,0.439712619,-1.290244213,0.347047481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mapF2,10,Male,NA,15,15,1,2,0,1,-17.96,6.81,448.4,141.1,0.673860293,0.478097153,38.47002045,O,O,O,D (all others),,,,,,,,,,,,,,,,5,11,3,1,13,2,19,16,35,3,2,2,2,1.37E+00,2.36E+00,NA,NA,2.59E+00,2.04E+00,3.87E+00,1.97E+00,3.92E+00,2.10E+00,4.37E+00,1.96E+00,4.44E+00,2.10E+00,4.18E+00,2.41E+00,4.49E+00,2.47E+00,4.51E+00,2.42E+00,4.57E+00,2.08E+00,5.19E+00,2.09E+00,5.25E+00,2.25E+00,5.44E+00,2.45E+00,5.19E+00,2.54E+00,5.15E+00,2.45E+00,4.70E+00,2.45E+00,4.92E+00,2.26E+00,4.47E+00,2.71E+00,2.87E+00,2.67E+00,NA,NA,40.71,0.5839,4.484689745,0.00904,0.00439,0.365,0.019580005,3.709,12.834,13.9,1.634,4.075,4.15,1.332,0.84,0.001,0.005,0.025,-0.03,-0.047,-0.069,-0.01913894,0.006271478,1.177586207,0.681034483,1.218181818,1.159090909,-0.472413793,-0.318965517,-2.755211067,0.04876743,-1.604389763,-0.256008393,-0.392994734,-0.319764732,-0.346467359,-0.19709498,0.078495731,-0.325811601,0.14446442,-0.193699498,-0.103072604,0.096993887,0.18872719,0.155891861,0.208124975,0.108909118,0.267285525,-0.211244729,0.852113568,-0.196971739,0.907844841,-0.04543806,1.085095129,0.144679105,0.848448307,0.227726958,0.811480383,0.141383182,0.387061797,0.139697104,0.59537616,-0.038817465,0.168235328,0.382614037,-1.340617826,0.338188516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
